Id,PostId,Text,CreationDate,UserId
181,1110,"@Tshepang I may be stretching the definiton of twist by this, but the audience-surprising thing is that the Travolta character (vincent Vega) is killed in the middle of the movie and alive at the end. Of course this isn't a twist in the actual timeline, but the movie is told out of sequence, so it kind of feels like one.",2012-12-13 17:21:38.727,831
185,1282,"Interesting, I will have to read the book @tony",2013-01-16 01:39:36.783,1207
186,936,"""Fight Club"" is indeed a perfect example of a plot-twist giving a whole new experience when watching it again. Though the movie's impact on me was significantly stronger when watching it the first time (but this is rather normal and doesn't need to be only due to the twist, I still enjoy watching it).",2012-10-11 07:28:52.193,228
192,1421,"Whether or not they show ""all of them"" depends entirely on which layers you think exist, or whether you believe Hell even exists at all.  The theology of that film doesn't correspond to any official theological doctrine that I'm aware of, so it will be impossible to answer it based on anything other than the film itself. And I don't recall that film describing Hell in ""layers"", so the answer is probably ""No."" Although, I must admit it's been a while since I've seen it.",2013-02-20 20:46:43.633,1235
193,492,He doesn't fall asleep in the class.,2012-05-07 17:44:26.450,1106
195,1659,"You are right Robert Fisher has the most complete story out of all.  I guess I am trying to point at the fact that we are ignoring why each of these characters need the money (other than Saito), how Eames is able to change character (even outside his own dreams) and no else can. The plot itself is interesting and the acting is good so yes we are drawn in to figuring out whether Cobb is dreaming or not or has been dreaming for the entire show",2013-05-03 20:39:18.320,984
197,1503,"Well... it seems we are seeing something different. Saying **why** would assume the scene is indeed humorous and thus a **reason** the director made the scene this way. I am asking was the scene intended to be humorous? And if so **how** the movie elements (the beer, eating the bar food), context (the fixation on Finals), the emotion (the fact that Erica became increasingly annoyed) set the tone of the scene. If the analysis of the film's tone via movie elements is not a valid question, I will concede this question is not constructive. @Noldorin",2013-03-16 15:34:32.070,9
198,230,I think asking if it's intended to be humorous is a valid question; although that's not what I got out of your question. Can you maybe clarify your question a bit?,2012-01-26 15:35:49.730,1600
199,963,"I gave an edit attempt just now let me know what you think. (You can also push a suggested edit, I should be able to approve your edit based on what the [faq] says) @Flimzy",2012-10-20 18:13:57.240,286
201,759,"This sounds like a very interesting, but very subjective question. Are you asking what theme the writers intended? Or are you asking for opinions of viewers?  Or maybe something else...",2012-07-25 18:14:41.613,1340
203,755,"I think it's okay to edit I am perfectly fine with it, the only possible outcomes are 1) someone edits the question to keep it on topic 2)someone closes and the question is deleted or we go back to 1).",2012-07-25 06:18:56.570,1472
206,1407,"Great link you provided. I knowed some of the story, but to read it in this way is very fascinating. The reason that Pollock thought Hel is too much like Hell is incredibly stupid. But sometimes people are stupid, so it could be well the reason.",2013-02-17 05:30:00.770,141
207,387,"To the question if you should see the new reconstruction. I saw it, as the Murnau-Stiftung presented it with a screening on the Berlinale (with no chance a normal guy could ever get tickets to), that was transferred through german television. I had to sustain some speeches of important german politicians, but then could see it. I didn't remember much from an earlier reconstruction I saw some years ago, but the new argentinian parts are easy to recognize, as they are in bad shape (as I read in the link, the archive choosed the cheapest contractor to copy the movie to 16mm .... aargh).",2012-04-03 06:39:39.080,510
208,89,"You always know: 'This was missing' because of the quality. Most important missing part for the plot is Hel. But also parts of the fake maria at the Yoshiwara depicted as the whore of Babylon (I think Lang or Harbou wanted to say, that the machine women has no morals). Some other parts setting the mood of the movie or gluing scenes. So if you liked Metropolis, you should see it in any case. If not, it may be a change, depending on which version you saw. The older reconstruction of the Murnau-Stiftung is somewhat complete, but you miss much if you saw Moroders version or Pollocks.",2011-12-11 09:43:14.057,937
210,701,"Irrelevant. If something as weird as his performance in the band happened on prom night it likely would have been photographed, remembered, and put in the yearbook.",2012-07-11 23:38:14.863,1170
213,396,"I hate to sound like a broken record, but this sounds like a bit of a subjective question, too. The question itself is subjective (opinion: there is a void), and the accepted answer is subjective (opinion: there is no void).",2012-04-07 20:56:57.367,957
215,1511,are you certain they were ants? and could it have been a two part episode of a show? (Sand Kings - Outer Limits is a thought),2013-03-18 17:34:06.803,1283
216,1254,"@Flimzy - well if we make the only on-topic questions here those of completely verifiable fact, then its going to be a vastly smaller site.  I do sympathize somewhat with the problems surrounding 'i believe this .... ' questions and answers - but I attempted to back my answer up by referring Inception to the Caper subgenre.",2013-01-07 15:39:31.220,1632
219,1087,Yes.  My point exactly.,2012-12-07 03:50:44.973,163
223,371,"As said on other posts, the spoiler tag is noise and said over by scifi it's really a meta tag. Almost every question in one way or another spoils the movie. There is already the spoiler syntax available to limit this from happening",2012-03-27 11:35:44.727,1002
224,1197,"@iandotkelly: Is ""a vastly smaller site"" a bad thing? SE is about filling a niche, not about being the biggest site possible.",2012-12-28 19:06:04.067,265
225,144,"It must be Phase IV. In Fallout 3, there is a scientist character called [Lesko](http://fallout.wikia.com/wiki/Weston_Lesko) (named after Lesko in Phase IV), who was also experimenting with ants, and ants took over the whole town.",2011-12-29 22:51:52.897,837
227,1637,@pramodc84 - have a look at the meta conversation about spoilers http://meta.movies.stackexchange.com/questions/16/whats-the-policy-on-spoilers - if you disagree then you can add to this question.  The general opinion is that the spoiler tag should be discouraged,2013-04-27 08:05:08.087,1497
229,555,@iandotkelly Ye. I have added this comment before having these kind of discussions about spoilers. No point in having above comment now :),2012-05-30 14:29:04.230,1476
232,153,"@matt_black: Yep. You really are stretching the definition of *twist*. I don't even remember being surprised, considering that it was very clear that the last scene is a continuation of the first.",2011-12-31 09:19:53.603,1034
233,1550,"I'm sorry, but you might have to add a little more information to the question in the future. I had to look for the tag to see what movie you were talking about, and even though it's my #2 film it took me a while to realize who Freddy is. The entire world knows him as Mr. Orange, you know that right?",2013-03-28 03:52:42.890,1572
234,104,"You raise an interesting point. If they are so rare and can not be reproduced, why would Dumbledore give such a thing to Hermione just for taking more classes? There would be so much more useful things to do.  Then again, as Dumbledore said, his greatest wish was a pair of warm socks. He of all people would know the danger of using very powerful things to do something you think is good. Instead of wishing for more power to make the world better, and instead of using the Time Turner to destroy Voldie, he used it for 'good' on a smaller scale.",2011-12-15 11:26:14.910,953
235,511,"That last bit of course is very true, from the storytelling-perspective. It ruined (to me) lots of movies, tv series and books. But it doesn't explain it from a point of view inside the Potterverse.",2012-05-13 05:38:10.650,463
236,151,"I had to read that question 3 times before I understood it gramatically (first thoughts: ""What is a note funnel?""). You might want to split it up.",2011-12-31 06:09:14.363,363
237,1276,There are 10+ versions of this film. Which precisely are you talking about?,2013-01-13 01:02:48.473,542
239,1675,"Stack Exchange works best when you ask really specific questions about specific problems you have encountered. In the context of a Movie site, you could (for example) ask about an element of a particular scene that you don't understand. But asking ""can someone explain Memento to me?"" isn't really going to work well on this site.",2013-05-07 23:21:22.120,1506
240,160,"@Pubby I have updated the question to state that it was the 2002 version. Sorry I didn't realise that there so many, only saw two movies on Wikipedia 1934 and 2002.",2012-01-03 13:45:40.163,581
246,1554,Not sure if [tag:identify-this-movie] is a correct tag.,2013-03-29 17:52:07.073,1131
247,936,"I think you have a good point though. Why wasn't anything at all shown from the rest of the world, where pandemic surely has broken out? The story is about how two very different yet closely related people deal with a disaster. The entire first part even exists (imo) to justify the second part: to create a contrast between the sisters' personalities. It's not a movie about global pandemic and disaster. It's a movie about the human psyche, and especially that of a depressive.",2012-10-11 01:28:52.193,231
248,1064,"I can provide no sources, but I recall sheep eating setpieces on *Muppets Tonight* as a child. :D",2012-11-30 14:20:36.367,54
249,1101,"Paprika *must* have been an influence; there's too much similar, plus that movie would have come out around when Nolan would have been dusting off the Inception script for revisions. Too much serendipity, there, I say.",2012-12-11 02:44:50.047,712
253,1340,@RobertCartaino done. better?,2013-01-29 22:11:22.370,322
254,844,"Sure, let's see how it goes.",2012-08-31 01:32:56.583,241
255,908,He knows she is far too integral?,2012-09-27 21:24:26.113,236
257,1312,Better to tag it around the lines film-adaptation or something like that.,2013-01-22 23:28:34.733,1542
260,901,"I'm confused about what the point of this question is...If it's actually to determine whether there are plot inconsistencies in the Matrix trilogy, it's a simple yes or no answer. And I don't think plot-hole or plot inconsistency questions make the internet better, for the most part. If the goal of the question is to find out why people ""reject both Matrix sequels""...that seems like a bad subjective question. (See: http://blog.stackoverflow.com/2010/09/good-subjective-bad-subjective/)",2012-09-25 03:05:27.147,191
261,1362,I tried cleaning it up for the OP let me know if that works @RobertCartaino,2013-02-04 07:10:39.553,1468
262,1337,"Yes, that was a little translation mixup...",2013-01-29 15:40:50.930,600
264,1278,"You're right, after having reviewed it again, I don't link Tyler's departure with the fight so strongly. In my memory they seemed much more connected. Good answer. I think the most interesting part is how Jack constantly seems disgusted by Tyler's actions, and yet secretly yearns to be more like him.",2013-01-14 00:13:59.327,1005
265,1556,"""In those time, treason, bravery, etc. were highly valued."", what do you mean by treason was highly valued?",2013-04-01 08:23:48.047,1376
266,472,"Right, as soon as he was unplugged, shouldn't he have changed to Sean Fentress? He is no longer connected to Stevens (who is back at the SC facility). He is no longer ""Stevens acting as Fentress."" The hardline is cut so to speak, and he now *is* Fentress. He is not Stevens anymore.",2012-05-02 00:36:44.143,533
267,351,"True, but up until the unplugging, he was Stevens. After the unplugging, Fentress no longer has any connection with Stevens, who is still a comatose body back at the Source Code facility. He's no longer Stevens-in-Fentress, he's actually Fentress.",2012-03-15 01:20:25.107,336
268,829,"@Unsigned Correct. He is not Stevens anymore, I am not sure how else to explain in it other than an oversight by the movie team. This change definitely was not made clear that he is no longer Stevens.",2012-08-27 13:58:22.577,1090
270,1187,"He was still Stevens, though. He was the consciousness of Stevens, permanently (rather than temporarily, as before) transferred to Fentress.",2012-12-25 17:20:01.360,756
271,219,"@Flimzy - Transferred when? In the alternate timeline, the transfer didn't happen. Stevens is still back at the facility along with his consciousness.",2012-01-23 23:41:57.470,1165
273,1736,"The timelines ""forked.""  In one time line, he was still in the facility in a coma; in the other he was living as Fentress.",2013-05-22 04:32:10.000,791
275,1750,"Watched some youtube videos of it,thats the name I was looking for ty.",2013-05-27 00:36:32.807,415
277,305,"@Flimzy - In the facility dead, don't you mean? Goodwin terminated his life support in the first timeline.",2012-02-25 09:14:12.033,688
278,1558,"Right, eventually he died in the first timeline.  I'm downloading the movie to watch it again, so I can flesh out my answer (and so I can enjoy watching it again!)",2013-04-03 06:48:30.090,788
280,446,"Bit long, but epic movie",2012-04-21 20:51:19.940,980
283,1443,@Unsigned: I have updated my answer after having just watched it again. I think you were confused on a couple points... I hope my answer clears it up.  Please let me know if I need to elaborate on anything else.,2013-02-28 11:01:09.777,1215
284,1750,"Why ""should"" we have seen Sean Fentress at the end?",2013-05-26 14:36:32.807,1216
290,1421,"1) I disagree, although it sounds like we only disagree on an artistic point here, and not the actual story line. He was every bit as much Fentress in one alternate timeline as he was in the others. The only difference is whether he knows it, and whether he dies.  2) Are you saying 4,5,6 are separate timelines?",2013-02-20 18:46:43.633,1432
292,1072,"@Flimzy Oh, I was referring the 4,5,6 events in the timeline above. Sorry about that. I guess difference in interpretation comes from the disconnect there. What actually happens to someone when they are disconnected from the Source code and life support? What does the freeze at the kiss represent? A lag in the program?",2012-12-03 00:22:45.813,1301
293,963,@Alonzo Thanks for cleaning up! Hope other uses will vote to open this up again. I will add more details as soon as I can.,2012-10-21 00:13:57.240,1273
294,1209,I meant that even an act of treason is more dramatic and is a cause for gossip among peasants. It will even elate the status of a warrior among uneducated peasants a bit.,2012-12-30 00:55:10.553,1765
300,1378,"That sounds likely, it's been a little while, but at the end doesn't her Raban activate again after she throws it away or am I making that up?",2013-02-08 11:51:42.807,1329
303,333,"Thanks a lot! The ""..that the killer used the detective to complete the series"" helped to clear up a lot. But why did the murderer feel Envy towards the policeman's wife?",2012-03-11 12:26:45.100,812
304,1674,"Thanks again! I checked Wikipedia and found this for my other question (why the Envy towards Tracy?):  ""...Doe claims to represent the sin of ""Envy""; he was jealous of Mills' normal life, and killed Tracy after failing to ""play husband"" with her...""",2013-05-07 19:23:44.363,1320
305,1298,+1 for McGuffins,2013-01-19 01:00:07.467,1118
306,144,"I replaced it with 'parody', hope that makes more sense.",2011-12-30 03:51:52.897,1199
315,919,"@ChristianRau - looking at the numbers License to Kill at the time was the worst performing Bond Movie when looking at Worldwide gross takings vs Budget (3.7-times).  They had a gap of 6 years before the Brosnan era began.  Whether critically good or not I can't really remember, but commercially it was not as successful.  Interestingly Quantum of Solace whilst it has almost the highest gross of any Bond, its cost was so huge it only just made over twice what it cost - far worse than License to Kill by that measure.",2012-10-03 16:57:23.483,327
318,1558,"Yay, question 100. :-)",2013-04-02 21:48:30.090,1171
322,826,"Depends on your definition of immortal.  Some define it as not susceptible to aging and disease, others define it as a complete lack of damage to the body",2012-08-26 05:39:42.127,358
323,508,"@DForck42 I edited the title now. I think I am trying to get at their power. Within the scene the Gods easily hit the Titans sometimes many feet away yet the Titans only need to stab the Gods (anywhere really... leg, arms) to create maximum damage.",2012-05-12 14:08:14.480,601
328,802,_why_ would it be intentionally removed? The original ending would have made more sense to me!,2012-08-14 23:38:29.593,1781
330,354,"Of course, that's why she reinterviews Jerry! Great answer, I totally missed that.",2012-03-16 23:39:42.660,1651
331,404,"Poor Fentress, ""his"" consciousness must be having one hell of a day! Good answer, upvoted.",2012-04-10 08:11:31.240,1130
335,103,"@Mnementh  As great as Whisper of the Heart was, remember its was only written by Miyazaki, the director is Yoshifumi Kondo.",2011-12-15 16:47:53.367,1113
338,907,It's definitely Toys. In the final confrontation there's a large bouncing ball that pursues them down the hallways of the factory.,2012-09-26 22:54:48.020,504
340,1496,"I think the scene is also about: (2) Showing Mark goes his own way when he leaves the room to spend his time on more important things, and (3) Mark realizing that such notes should be able to spread on The Facebook too. But besides all that, I don't think this is what is being asked by OP.",2013-03-16 09:08:36.727,1533
341,786,"+1 Sounds like a great question! I must show it again before being able to answer, but I dó remember the magnificent end titles song by Diana Krall.",2012-08-08 09:44:39.970,849
342,382,I don't think this question belongs here. IMDB and Wikipedia both provide succinct summaries of what happens at the end - the answers here don't add any new understanding.,2012-04-02 05:28:43.093,676
366,1647,Is this a trick question?  A classic cheesy music montage example is from [Rocky (1976)](http://www.youtube.com/watch?v=DP3MFBzMH2o).,2013-04-30 14:17:31.197,1130
368,1051,"Downvoted for a couple reasons. Why an 80s movie? Why not first montage ever? Also, what is an ""official"" montage?",2012-11-26 04:21:46.723,1262
373,391,Thanks for your answer. Especially the links were really informative.,2012-04-05 08:08:46.937,1090
374,1304,"My first thought was Phase IV.  Them! doesn't have a lab as such, and it's a lot older than Phase IV too.  Classic, though, both of them (though ""Them!"" is better-known I think).  @baz wow, I didn't know that about Fallout 3.  I *got* to play it now.",2013-01-21 08:54:25.203,1306
380,279,"As I added in my edit, as per the book the Captain was the one who was supposed to collect the letter from Napolean. Since he was dying he asked Edmond to do the same.",2012-02-10 12:10:07.913,458
383,166,"Yeah I know, one of the few well-known Ghibli-movies not from Miyazaki. That I should view this movie again was not connected to my question. :-)",2012-01-04 10:37:04.190,734
384,840,I think I never saw Porco Rosso. Maybe I should fill this hole.,2012-08-29 19:58:57.040,45
386,300,"@row1 I have edited my answer. As per the book, Dantes collected the book from Captain Marshall, but he did meet Napolean in Captain Marshall's house during his visit. [link](http://www.literature.org/authors/dumas-alexandre/the-count-of-monte-cristo/chapter-01.html)",2012-02-23 06:18:01.993,1309
387,334,http://xkcd.com/657/,2012-03-10 23:03:22.553,597
388,10,"In my opinion, the different thought about teddy's ill is one of reasons why this movie is so fascinating.",2011-12-01 00:34:16.463,548
389,854,"Interesitng essay, thanks!",2012-09-01 01:20:56.683,957
390,1711,http://en.wikipedia.org/wiki/Film_stock#Chemistry,2013-05-18 11:43:33.700,1781
394,1479,@SamTheBrand because that is what [tag:80s] movies were known for. Their montages.,2013-03-11 22:15:25.300,1113
396,126,Still seems kind of lazy from a movie with such detail.  Won't prevent me from loving it any less than I do however.,2011-12-21 14:38:40.970,106
398,498,@atticae HA! ^_^,2012-05-10 02:06:47.697,284
400,995,"Oops - made a mistake in my answer, related it to the attack on the wedding which was at the restored Burrow in the movie.  Craig is correct, there is a difference in plot in the Half Blood Prince at this point.",2012-11-05 02:17:04.407,685
401,1001,"I think that Rowling didn't really want to play with time, but it was a path she felt was necessary for the direction of the story. As such, there are going to be inconsistencies and open questions, because time travel offers an unparalleled scope, and it would be difficult, impractical and boring for the reader if they were all tied up neatly.",2012-11-07 14:35:01.987,862
411,385,"I think it is definitely worth it for the OP to review these, esp. Hellstrom Chronicles.",2012-04-03 02:56:54.640,577
416,1738,"But unfortunately despite 'enjoying' (as much as you can enjoy American Psycho) both it and Dexter, I have no idea why he used the name.",2013-05-23 06:44:43.037,316
418,1450,"Personally, all of the above are top quality, except The Cat Returns. The animation isn't the same quality as the first movie and the story seems rushed and cramped. The ending is just blah.",2013-03-01 05:50:33.510,437
430,1516,I'm also confused with this film. This might help you either towards clear or more confusion :) http://en.wikipedia.org/wiki/Mulholland_Drive_(film)#Interpretations_and_allusions,2013-03-20 00:48:35.657,464
434,747,@pramodc84 - Staying village side? Not sure that counts as having the environment as the main theme? Even Kiki was set in a nice seaside village.,2012-07-24 07:32:09.480,1223
435,1026,"Spirited Away has an environmental theme (although not that much in the foreground). Haku is a river-god. The greatest strength developing the characters, if they work together, Haku representing nature and Sen representing the Humans. Also I seem to remember, that the inhabitants of the magical world talk bad about the humans, because they don't respect nature. Totoro shows humans and nature living in harmony. Howl's Moving Castle is harder. I personally see there an environmental theme, as the other world destroyed by war is similar to the destroyed world in Nausicaä. But that's debatable.",2012-11-18 06:20:02.447,347
436,1107,"@Mnementh - Then your question is written incorrectly. The environment is not the ""theme"" of those movies, neither is it the ""main subject"". Totoro shows people on a nice looking farm outside of the city. Howl's moving castle clambers through the countryside and spirited away has one reference to Haku's river but it's more subtle than being one of the main themes.",2012-12-13 00:28:40.190,481
438,861,lol @atticae ...,2012-09-07 22:29:32.250,1086
441,272,"Empire of Ants is clearly not the movie I look for, as it involves big creatures. Hellstrom Chronicles... seems not to be the one I search, but it seems to be a cleverly constructed movie. So I will look for it anyway. Thanks. :-)",2012-02-09 01:43:13.177,1092
443,1257,"Does not every psycho-killer thinks in it's own mind, that he is protecting something important to him?",2013-01-07 22:05:43.203,1262
